Mapped labels: spam->1, ham->0.
Removed stopwords: english.
Vectorized data with count BoW.

Split data.

Performing a grid hyperparameter search with Stratified K-Fold cross validation
      Iter       Train Loss   Remaining Time 
         2           0.6451           10.04m
         3           0.6309            9.23m
         4           0.6168            8.86m
         5           0.6047            8.14m
         6           0.5923            7.57m
         7           0.5819            7.45m
         8           0.5711            7.42m
         9           0.5616            7.46m
        10           0.5536            7.37m
        20           0.4868            6.58m
        30           0.4435            6.66m
        40           0.4104            6.78m
        50           0.3833            6.75m
        60           0.3606            6.58m
        70           0.3456            6.46m
        80           0.3312            6.30m
        90           0.3200            6.12m
       100           0.3068            5.98m
       200           0.2214            5.10m
       300           0.1662            4.44m
       400           0.1281            3.77m
       500           0.0989            3.14m
       600           0.0778            2.52m
       700           0.0611            1.89m
       800           0.0488            1.26m
       900           0.0386           38.01s
      1000           0.0314            0.00s
      Iter       Train Loss   Remaining Time 
         1           0.6390           36.01s
         2           0.6103           33.41s
         3           0.5836           32.65s
         4           0.5646           35.11s
         5           0.5490           34.45s
         6           0.5295           33.99s
         7           0.5136           35.27s
         8           0.4972           35.73s
         9           0.4838           35.03s
        10           0.4735           35.22s
        20           0.3925           38.47s
        30           0.3564           36.50s
        40           0.3252           29.50s
        50           0.3053           25.48s
        60           0.2840           19.54s
        70           0.2632           14.07s
        80           0.2495            9.04s
        90           0.2297            4.47s
       100           0.2152            0.00s
      Iter       Train Loss   Remaining Time 
         1           0.6370            5.97m
         2           0.6043            7.14m
         3           0.5758            6.76m
         4           0.5509            6.54m
         5           0.5349            6.51m
         6           0.5199            6.56m
         7           0.5031            6.44m
         8           0.4885            6.40m
         9           0.4758            6.30m
        10           0.4634            6.37m
        20           0.3848            6.04m
        30           0.3443            5.80m
        40           0.3097            5.69m
        50           0.2780            5.76m
        60           0.2575            5.82m
        70           0.2368            5.74m
        80           0.2214            5.75m
        90           0.2038            5.66m
       100           0.1883            5.62m
       200           0.0989            5.15m
       300           0.0543            4.41m
       400           0.0310            3.75m
       500           0.0182            3.16m
       600           0.0109            2.51m
       700           0.0064            1.89m
       800           0.0039            1.25m
       900           0.0023           37.43s
      1000           0.0014            0.00s
      Iter       Train Loss   Remaining Time 
         1           0.6069            3.11m
         2           0.5628            3.05m
         3           0.5296            3.10m
         4           0.5023            3.12m
         5           0.4800            3.10m
         6           0.4603            3.07m
         7           0.4423            3.05m
         8           0.4237            3.01m
         9           0.4097            3.01m
        10           0.3959            3.01m
        20           0.3384            3.22m
        30           0.2848            3.11m
        40           0.2546            2.92m
        50           0.2219            2.83m
        60           0.1911            2.74m
        70           0.1712            2.66m
        80           0.1510            2.59m
        90           0.1364            2.51m
       100           0.1194            2.44m
       200           0.0428            1.83m
       300           0.0163            1.18m
       400           0.0064           34.64s
       500           0.0026            0.00s
      Iter       Train Loss   Remaining Time 
         1           0.7191           35.23s
         2           0.6756           32.66s
         3           0.6436           35.36s
         4           0.6183           35.83s
         5           0.5929           36.04s
         6           0.5735           36.47s
         7           0.5521           37.01s
         8           0.5371           36.91s
         9           0.5207           37.00s
        10           0.5066           36.97s
        20           0.4059           30.59s
        30           0.3426           27.87s
        40           0.3006           24.22s
        50           0.2701           19.89s
        60           0.2448           15.78s
        70           0.2224           12.19s
        80           0.2044            8.16s
        90           0.1792            4.13s
       100           0.1664            0.00s
      Iter       Train Loss   Remaining Time 
         1           0.6630           37.09s
         2           0.6470           34.31s
         3           0.6342           33.84s
         4           0.6210           36.30s
         5           0.6094           36.41s
         6           0.5987           36.14s
         7           0.5889           35.69s
         8           0.5787           34.99s
         9           0.5706           34.95s
        10           0.5611           34.49s
        20           0.4956           30.30s
        30           0.4495           26.02s
        40           0.4149           21.96s
        50           0.3910           18.27s
        60           0.3694           14.64s
        70           0.3580           10.90s
        80           0.3491            7.26s
        90           0.3371            3.65s
       100           0.3255            0.00s
      Iter       Train Loss   Remaining Time 
         1           0.6628            3.36m
         2           0.6476            3.24m
         3           0.6322            3.36m
         4           0.6191            3.62m
         5           0.6067            3.51m
         6           0.5947            3.44m
         7           0.5839            3.50m
         8           0.5739            3.49m
         9           0.5641            3.52m
        10           0.5566            3.66m
        20           0.4909            3.71m
        30           0.4463            3.55m
        40           0.4135            3.55m
        50           0.3851            3.53m
        60           0.3668            3.36m
        70           0.3528            3.26m
        80           0.3410            3.17m
        90           0.3296            3.06m
       100           0.3203            2.95m
       200           0.2363            2.08m
       300           0.1825            1.35m
       400           0.1432           39.59s
       500           0.1131            0.00s
      Iter       Train Loss   Remaining Time 
         1           0.6321            5.12m
         2           0.5632            4.06m
         3           0.5155            3.68m
         4           0.4853            3.71m
         5           0.4571            4.07m
         6           0.4301            4.07m
         7           0.4097            4.02m
         8           0.3928            3.97m
         9           0.3751            3.84m
        10           0.3601            3.84m
        20           0.2572            3.54m
        30           0.2038            3.26m
        40           0.1513            3.06m
        50           0.1232            2.94m
        60           0.1034            2.83m
        70           0.0897            2.73m
        80           0.0803            2.67m
        90           0.0727            2.62m
       100           0.0662            2.53m
       200           0.0310            1.98m
       300           0.0177            1.32m
       400           0.0107           40.42s
       500           0.0065            0.00s
      Iter       Train Loss   Remaining Time 
         1           0.6390            3.14m
         2           0.6103            4.63m
         3           0.5836            4.58m
         4           0.5646            4.70m
         5           0.5490            4.39m
         6           0.5295            4.18m
         7           0.5136            4.02m
         8           0.4972            4.06m
         9           0.4838            4.10m
        10           0.4735            4.13m
        20           0.3926            4.29m
        30           0.3565            3.71m
        40           0.3260            3.39m
        50           0.3071            3.21m
        60           0.2841            3.13m
        70           0.2645            3.00m
        80           0.2487            2.90m
        90           0.2328            2.81m
       100           0.2177            2.70m
       200           0.1200            1.96m
       300           0.0713            1.38m
       400           0.0430           40.33s
       500           0.0261            0.00s
      Iter       Train Loss   Remaining Time 
         1           0.5676            3.99m
         2           0.4533            3.50m
         3           0.3924            3.29m
         4           0.3462            3.44m
         5           0.3042            3.35m
         6           0.2801            3.31m
         7           0.2618            3.26m
         8           0.2470            3.58m
         9           0.2289            3.63m
        10           0.2200            3.68m
        20           0.1315            3.30m
        30           0.0825            3.13m
        40           0.0568            3.18m
        50           0.0430            3.22m
        60           0.0341            3.19m
        70           0.0278            3.05m
        80           0.0229            2.94m
        90           0.0190            2.85m
       100           0.0151            2.80m
       200           0.0033            1.97m
       300           0.0010            1.32m
       400           0.0003           37.86s
       500           0.0001            0.00s
      Iter       Train Loss   Remaining Time 
         1           0.6032            3.15m
         2           0.5534            3.08m
         3           0.5201            3.18m
         4           0.4918            3.15m
         5           0.4704            3.09m
         6           0.4433            3.20m
         7           0.4349            3.15m
         8           0.4139            3.17m
         9           0.3998            3.13m
        10           0.3857            3.07m
        20           0.3170            3.08m
        30           0.2700            3.23m
        40           0.2247            3.21m
        50           0.1982            3.16m
        60           0.1701            3.04m
        70           0.1474            2.96m
        80           0.1312            2.94m
        90           0.1147            2.81m
       100           0.1058            2.69m
       200           0.0329            1.99m
       300           0.0114            1.28m
       400           0.0043           37.38s
       500           0.0016            0.00s
      Iter       Train Loss   Remaining Time 
         1           0.7179            6.17m
         2           0.6776            6.19m
         3           0.6492            6.29m
         4           0.6228            6.13m
         5           0.5960            6.26m
         6           0.5749            6.24m
         7           0.5577            6.55m
         8           0.5435            6.44m
         9           0.5279            6.42m
        10           0.5099            6.34m
        20           0.4151            5.83m
        30           0.3542            5.78m
        40           0.3124            5.79m
        50           0.2814            5.85m
        60           0.2581            5.77m
        70           0.2393            5.63m
        80           0.2182            5.69m
        90           0.1989            5.96m
       100           0.1819            5.99m
       200           0.1164            5.16m
       300           0.0859            4.50m
       400           0.0646            3.88m
       500           0.0505            3.17m
       600           0.0400            2.56m
       700           0.0320            1.92m
       800           0.0259            1.29m
       900           0.0210           38.41s
      1000           0.0171            0.00s
      Iter       Train Loss   Remaining Time 
         1           0.6321            6.43m
         2           0.5632            6.62m
         3           0.5155            6.32m
         4           0.4853            6.18m
         5           0.4571            6.08m
         6           0.4301            6.17m
         7           0.4097            6.14m
         8           0.3928            6.00m
         9           0.3751            5.99m
        10           0.3601            6.04m
        20           0.2572            5.96m
        30           0.2038            5.95m
        40           0.1513            6.00m
        50           0.1232            6.16m
        60           0.1034            6.23m
        70           0.0897            6.24m
        80           0.0803            6.58m
        90           0.0727            6.52m
       100           0.0662            6.47m
       200           0.0305            5.65m
       300           0.0177            4.77m
       400           0.0105            4.01m
       500           0.0063            3.33m
       600           0.0039            2.65m
       700           0.0024            1.99m
       800           0.0015            1.32m
       900           0.0009           39.31s
      1000           0.0006            0.00s
      Iter       Train Loss   Remaining Time 
         1           0.6032           28.36s
         2           0.5534           29.04s
         3           0.5201           29.41s
         4           0.4918           32.59s
         5           0.4704           32.94s
         6           0.4433           31.75s
         7           0.4349           30.56s
         8           0.4139           30.86s
         9           0.3997           30.01s
        10           0.3855           29.67s
        20           0.3178           25.29s
        30           0.2740           22.48s
        40           0.2240           18.81s
        50           0.1968           15.53s
        60           0.1744           12.49s
        70           0.1488            9.38s
        80           0.1329            6.32s
        90           0.1155            3.11s
       100           0.1058            0.00s
      Iter       Train Loss   Remaining Time 
         1           0.6047           42.05s
         2           0.5648           38.95s
         3           0.5261           37.32s
         4           0.4899           34.04s
         5           0.4677           32.17s
         6           0.4481           31.14s
         7           0.4222           30.46s
         8           0.4045           30.45s
         9           0.3891           29.54s
        10           0.3780           28.82s
        20           0.3270           24.78s
        30           0.2625           21.37s
        40           0.2180           18.80s
        50           0.1940           15.56s
        60           0.1707           12.35s
        70           0.1487            9.39s
        80           0.1332            6.33s
        90           0.1159            3.20s
       100           0.1024            0.00s
      Iter       Train Loss   Remaining Time 
         1           0.6040           34.05s
         2           0.5612           30.38s
         3           0.5278           28.94s
         4           0.4953           28.26s
         5           0.4718           28.74s
         6           0.4469           28.47s
         7           0.4312           28.21s
         8           0.4197           28.88s
         9           0.4026           28.86s
        10           0.3942           28.11s
        20           0.3326           25.01s
        30           0.2757           21.85s
        40           0.2352           18.88s
        50           0.2102           17.74s
        60           0.1779           14.41s
        70           0.1586           10.77s
        80           0.1438            7.22s
        90           0.1303            3.60s
       100           0.1134            0.00s
      Iter       Train Loss   Remaining Time 
         1           0.6041            3.07m
         2           0.5556            3.11m
         3           0.5288            3.05m
         4           0.4971            3.01m
         5           0.4769            3.04m
         6           0.4515            3.08m
         7           0.4317            3.02m
         8           0.4206            2.98m
         9           0.4067            3.13m
        10           0.3901            3.16m
        20           0.3334            3.10m
        30           0.2707            2.97m
        40           0.2387            2.86m
        50           0.2174            2.83m
        60           0.1866            2.77m
        70           0.1681            2.68m
        80           0.1439            2.61m
        90           0.1334            2.54m
       100           0.1151            2.47m
       200           0.0441            1.86m
       300           0.0167            1.22m
