Mapped labels: spam->1, ham->0.
Removed stopwords: english.
Vectorized data with TF-IDF.

Split data.

Performing a grid hyperparameter search with Stratified K-Fold cross validation
      Iter       Train Loss   Remaining Time 
         3           0.3800            4.35m
         4           0.3336            4.35m
         5           0.2925            4.31m
         6           0.2654            4.27m
         7           0.2450            4.30m
         8           0.2304            4.36m
         9           0.2145            4.49m
        10           0.2008            4.48m
        20           0.1145            4.38m
        30           0.0662            4.41m
        40           0.0456            4.45m
        50           0.0339            4.34m
        60           0.0272            4.22m
        70           0.0210            4.17m
        80           0.0181            4.12m
        90           0.0143            4.06m
       100           0.0117            4.05m
       200           0.0022            3.54m
       300           0.0006            3.12m
       400           0.0002            2.66m
       500           0.0000            2.24m
       600           0.0000            1.78m
       700           0.0000            1.34m
       800           0.0000           52.94s
       900           0.0000           26.27s
      1000           0.0000            0.00s
      Iter       Train Loss   Remaining Time 
         1           0.7159            6.16m
         2           0.6708            5.56m
         3           0.6427            5.24m
         4           0.6164            4.97m
         5           0.5935            4.80m
         6           0.5706            4.78m
         7           0.5539            4.84m
         8           0.5353            4.78m
         9           0.5216            4.72m
        10           0.5094            4.65m
        20           0.4112            4.63m
        30           0.3493            4.47m
        40           0.3070            4.42m
        50           0.2756            4.27m
        60           0.2509            4.19m
        70           0.2298            4.13m
        80           0.2126            4.09m
        90           0.1941            4.01m
       100           0.1744            3.98m
       200           0.1093            3.51m
       300           0.0789            3.04m
       400           0.0589            2.64m
       500           0.0453            2.21m
       600           0.0352            1.77m
       700           0.0276            1.33m
       800           0.0219           53.51s
       900           0.0174           26.89s
      1000           0.0140            0.00s
      Iter       Train Loss   Remaining Time 
         1           0.6307            4.15m
         2           0.5625            4.14m
         3           0.5151            4.24m
         4           0.4832            4.44m
         5           0.4543            4.45m
         6           0.4262            4.40m
         7           0.4051            4.35m
         8           0.3877            4.32m
         9           0.3722            4.32m
        10           0.3543            4.28m
        20           0.2534            4.32m
        30           0.1988            4.22m
        40           0.1481            4.20m
        50           0.1218            4.22m
        60           0.1054            4.25m
        70           0.0925            4.21m
        80           0.0816            4.11m
        90           0.0735            4.05m
       100           0.0671            4.01m
       200           0.0301            3.55m
       300           0.0164            3.10m
       400           0.0092            2.66m
       500           0.0053            2.22m
       600           0.0031            1.77m
       700           0.0018            1.34m
       800           0.0011           53.28s
       900           0.0006           26.65s
      1000           0.0004            0.00s
      Iter       Train Loss   Remaining Time 
         1           0.6037           26.01s
         2           0.5540           25.69s
         3           0.5208           24.94s
         4           0.4932           24.54s
         5           0.4687           24.92s
         6           0.4528           24.21s
         7           0.4275           23.99s
         8           0.4181           23.54s
         9           0.4066           23.47s
        10           0.3872           23.02s
        20           0.3206           20.61s
        30           0.2664           18.13s
        40           0.2210           15.84s
        50           0.1888           13.41s
        60           0.1656           10.92s
        70           0.1432            8.25s
        80           0.1285            5.49s
        90           0.1093            2.74s
       100           0.0972            0.00s
      Iter       Train Loss   Remaining Time 
         1           0.6075           25.61s
         2           0.5588           24.88s
         3           0.5206           31.33s
         4           0.4862           31.19s
         5           0.4653           29.68s
         6           0.4466           28.68s
         7           0.4168           27.76s
         8           0.4022           28.12s
         9           0.3884           27.29s
        10           0.3767           26.75s
        20           0.3260           22.60s
        30           0.2594           19.41s
        40           0.2216           16.14s
        50           0.1943           13.40s
        60           0.1662           10.77s
        70           0.1465            8.05s
        80           0.1311            5.39s
        90           0.1125            2.69s
       100           0.1020            0.00s
      Iter       Train Loss   Remaining Time 
         1           0.6069           24.45s
         2           0.5627           24.50s
         3           0.5295           24.41s
         4           0.5022           24.15s
         5           0.4790           24.14s
         6           0.4595           24.05s
         7           0.4355           23.77s
         8           0.4191           24.81s
         9           0.4105           24.26s
        10           0.3956           23.84s
        20           0.3407           23.03s
        30           0.2839           19.45s
        40           0.2488           16.30s
        50           0.2191           13.28s
        60           0.1903           10.42s
        70           0.1696            7.73s
        80           0.1474            5.18s
        90           0.1328            2.60s
       100           0.1166            0.00s
      Iter       Train Loss   Remaining Time 
         1           0.6036            2.54m
         2           0.5607            2.91m
